Distancia(m)	Amplitude
19.0691	0.1077
19.0991	0.1073
19.1291	0.1069
19.1592	0.1066
19.1892	0.1062
19.2192	0.1058
19.2492	0.1054
19.2793	0.1050
19.3093	0.1047
19.3393	0.1043
19.3694	0.1039
19.3994	0.1035
19.4294	0.1032
19.4595	0.1028
19.4895	0.1024
19.5195	0.1021
19.5495	0.1017
19.5796	0.1013
19.6096	0.1010
19.6396	0.1006
19.6697	0.1003
19.6997	0.0999
19.7297	0.0996
19.7598	0.0992
19.7898	0.0988
19.8198	0.0985
19.8498	0.0981
19.8799	0.0978
19.9099	0.0974
19.9399	0.0971
19.9700	0.0967
20.0000	0.0964
20.0300	0.0961
20.0601	0.0957
20.0901	0.0954
20.1201	0.0950
20.1502	0.0947
20.1802	0.0943
20.2102	0.0940
20.2402	0.0937
20.2703	0.0933
20.3003	0.0930
20.3303	0.0927
20.3604	0.0923
20.3904	0.0920
20.4204	0.0917
20.4505	0.0914
20.4805	0.0910
20.5105	0.0907
20.5405	0.0904
20.5706	0.0901
20.6006	0.0897
20.6306	0.0894
20.6607	0.0891
20.6907	0.0888
20.7207	0.0885
20.7508	0.0881
20.7808	0.0878
20.8108	0.0875
20.8408	0.0872
20.8709	0.0869
20.9009	0.0866
20.9309	0.0863
20.9610	0.0860
20.9910	0.0857
21.0210	0.0854
21.0511	0.0850
21.0811	0.0847
21.1111	0.0844
21.1411	0.0841
21.1712	0.0838
21.2012	0.0835
21.2312	0.0832
21.2613	0.0829
21.2913	0.0826
21.3213	0.0824
21.3514	0.0821
21.3814	0.0818
21.4114	0.0815
21.4414	0.0812
21.4715	0.0809
21.5015	0.0806
21.5315	0.0803
21.5616	0.0800
21.5916	0.0797
21.6216	0.0795
21.6517	0.0792
21.6817	0.0789
21.7117	0.0786
21.7417	0.0783
21.7718	0.0780
21.8018	0.0778
21.8318	0.0775
21.8619	0.0772
21.8919	0.0769
21.9219	0.0767
21.9520	0.0764
21.9820	0.0761
22.0120	0.0758
22.0420	0.0756
22.0721	0.0753
22.1021	0.0750
22.1321	0.0748
22.1622	0.0745
22.1922	0.0742
22.2222	0.0740
22.2523	0.0737
22.2823	0.0734
22.3123	0.0732
22.3423	0.0729
22.3724	0.0727
22.4024	0.0724
22.4324	0.0721
22.4625	0.0719
22.4925	0.0716
22.5225	0.0714
22.5526	0.0711
22.5826	0.0709
22.6126	0.0706
22.6426	0.0704
22.6727	0.0701
22.7027	0.0699
22.7327	0.0696
22.7628	0.0694
22.7928	0.0691
22.8228	0.0689
22.8529	0.0686
22.8829	0.0684
22.9129	0.0681
22.9429	0.0679
22.9730	0.0676
